epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1134.47,0.68708,1.09861,0.59681,1.01093,0.95953,0.93131,0.97096,0.85388,0.95953,0.93131,0.96991,0.84151,0.38054,0.4743,0.30436,0.95364,0.007525,0.007525,0.007525
52,1156.08,0.69755,1.08187,0.5898,1.01579,0.93142,0.91374,0.96114,0.8503,0.93187,0.91193,0.95922,0.84002,0.38166,0.49022,0.31602,0.95295,0.0074755,0.0074755,0.0074755
53,1177.68,0.68218,1.06751,0.5902,1.01201,0.93653,0.91557,0.96301,0.84957,0.93467,0.91376,0.95848,0.8418,0.38831,0.49342,0.3007,0.95639,0.007426,0.007426,0.007426
54,1199.33,0.67537,1.05141,0.56722,1.00654,0.94062,0.89201,0.9616,0.85454,0.94058,0.89148,0.95631,0.84456,0.38924,0.48137,0.30302,0.96059,0.0073765,0.0073765,0.0073765
55,1220.88,0.67401,1.06587,0.57678,1.00418,0.90979,0.88555,0.95243,0.8492,0.91115,0.88695,0.95091,0.83827,0.38437,0.48422,0.3088,0.94948,0.007327,0.007327,0.007327
56,1242.44,0.66808,1.0327,0.557,1.00457,0.92388,0.88866,0.95284,0.85226,0.92388,0.88866,0.94995,0.84028,0.37108,0.48476,0.30505,0.94755,0.0072775,0.0072775,0.0072775
57,1264,0.661,1.04569,0.5509,0.99874,0.87877,0.89061,0.93904,0.83778,0.87913,0.89099,0.94107,0.82547,0.37872,0.49428,0.33066,0.95708,0.007228,0.007228,0.007228
58,1285.59,0.66065,1.0363,0.54973,1.00045,0.91614,0.90285,0.95137,0.84326,0.91751,0.90424,0.95126,0.83195,0.38672,0.47886,0.33018,0.96227,0.0071785,0.0071785,0.0071785
59,1307.28,0.66616,1.03219,0.54254,0.9969,0.94146,0.915,0.96236,0.85627,0.94146,0.915,0.9624,0.84429,0.37972,0.45237,0.30704,0.95114,0.007129,0.007129,0.007129
60,1328.83,0.65785,1.03631,0.54435,0.98962,0.9429,0.90377,0.96449,0.8647,0.9429,0.90377,0.96145,0.84487,0.3596,0.45206,0.28758,0.93725,0.0070795,0.0070795,0.0070795
61,1350.43,0.64919,0.97669,0.53623,0.98569,0.86273,0.91653,0.93113,0.83253,0.86241,0.91611,0.9295,0.81375,0.36322,0.45802,0.29983,0.9419,0.00703,0.00703,0.00703
62,1372,0.63847,0.9855,0.51793,0.98379,0.89785,0.95038,0.95471,0.85148,0.89621,0.94856,0.95264,0.83777,0.35704,0.46182,0.28614,0.93836,0.0069805,0.0069805,0.0069805
63,1393.65,0.64191,0.97002,0.52229,0.98562,0.93426,0.90538,0.95008,0.84411,0.93426,0.90538,0.9461,0.82884,0.36088,0.4691,0.28351,0.9472,0.006931,0.006931,0.006931
64,1415.22,0.63993,1.00309,0.51106,0.98657,0.95321,0.9269,0.96742,0.86343,0.95457,0.9283,0.96532,0.84204,0.35674,0.47267,0.27336,0.93958,0.0068815,0.0068815,0.0068815
65,1436.79,0.63814,0.98862,0.51117,0.98911,0.92732,0.91946,0.96445,0.85895,0.92732,0.91946,0.96039,0.84058,0.3511,0.4822,0.27822,0.93668,0.006832,0.006832,0.006832
