epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,450.659,0.96617,1.47599,0.83982,1.05205,0.79828,0.78231,0.76692,0.58609,0.82884,0.8162,0.80303,0.56885,0.84571,1.1391,0.63662,0.99781,0.00115463,0.00115463,0.00115463
45,460.547,0.96331,1.45399,0.82613,1.05774,0.87384,0.94636,0.95802,0.76128,0.87384,0.94636,0.95706,0.76093,0.85762,1.11162,0.65272,0.99672,0.00117345,0.00117345,0.00117345
46,470.314,0.95091,1.42578,0.80568,1.04893,0.83641,0.90994,0.91679,0.73652,0.83488,0.90813,0.9137,0.69775,0.85344,1.17492,0.67705,1.00459,0.00119194,0.00119194,0.00119194
47,480.103,0.9579,1.44541,0.80242,1.04186,0.87477,0.94384,0.96098,0.75228,0.87477,0.94384,0.95856,0.72234,0.82853,1.13024,0.59784,0.98642,0.00121009,0.00121009,0.00121009
48,489.834,0.94009,1.4659,0.80691,1.03898,0.89357,0.87552,0.94798,0.72626,0.89251,0.87371,0.9434,0.69703,0.86685,1.15028,0.62441,1.00747,0.00122792,0.00122792,0.00122792
49,499.622,0.91267,1.40681,0.76151,1.03374,0.76764,0.89234,0.90324,0.70806,0.76616,0.89053,0.89592,0.71024,0.84566,1.12116,0.6308,1.00495,0.00124542,0.00124542,0.00124542
50,509.364,0.93518,1.4591,0.78459,1.03823,0.81821,0.919,0.93908,0.71736,0.81666,0.91718,0.91908,0.70325,0.83038,1.17194,0.65581,1.01224,0.00126259,0.00126259,0.00126259
51,519.151,0.93102,1.39906,0.76631,1.03952,0.92654,0.79684,0.93698,0.73025,0.92654,0.79684,0.9328,0.73244,0.8177,1.11672,0.6034,0.99579,0.00125442,0.00125442,0.00125442
52,528.91,0.91526,1.44066,0.76504,1.03428,0.90096,0.91575,0.95406,0.7067,0.90096,0.91575,0.95196,0.70663,0.84008,1.08908,0.64112,0.99675,0.00124617,0.00124617,0.00124617
53,538.668,0.93811,1.39033,0.76579,1.04679,0.94823,0.88064,0.96304,0.74777,0.94823,0.88064,0.96019,0.74024,0.81171,1.11695,0.58375,0.98231,0.00123791,0.00123791,0.00123791
54,548.406,0.92156,1.3908,0.75649,1.02835,0.8876,0.93846,0.93547,0.69044,0.84948,0.90176,0.88989,0.66585,0.82148,1.08707,0.63332,1.00178,0.00122966,0.00122966,0.00122966
55,558.132,0.90619,1.38601,0.74482,1.02364,0.9103,0.87552,0.94904,0.75718,0.91245,0.87552,0.94507,0.73631,0.799,1.11342,0.59974,0.99881,0.00122141,0.00122141,0.00122141
56,567.872,0.91404,1.41257,0.74798,1.02398,0.92045,0.80203,0.94285,0.72926,0.92213,0.80412,0.94052,0.71271,0.82011,1.1559,0.60475,0.98729,0.00121316,0.00121316,0.00121316
57,577.697,0.89795,1.38098,0.72728,1.02428,0.89257,0.92029,0.93697,0.72415,0.89328,0.92029,0.9357,0.72153,0.79634,1.17549,0.61575,0.98485,0.00120491,0.00120491,0.00120491
58,587.427,0.89228,1.38082,0.70009,1.01358,0.90523,0.88639,0.95641,0.74222,0.91765,0.86646,0.95879,0.72833,0.82624,1.15802,0.56916,0.98744,0.00119666,0.00119666,0.00119666
59,597.14,0.8962,1.34629,0.72825,1.02331,0.95144,0.84705,0.94367,0.73984,0.95144,0.84705,0.94057,0.71398,0.80996,1.18366,0.56957,0.98909,0.0011884,0.0011884,0.0011884
60,606.824,0.89657,1.35892,0.73548,1.02273,0.93505,0.8905,0.95123,0.77004,0.93721,0.8882,0.94999,0.76304,0.80067,1.10733,0.55712,0.97463,0.00118015,0.00118015,0.00118015
61,616.627,0.88907,1.36361,0.71856,1.01247,0.95531,0.87552,0.96145,0.74931,0.95531,0.87552,0.96145,0.73862,0.82603,1.13684,0.54275,1.00463,0.0011719,0.0011719,0.0011719
62,626.359,0.88387,1.34188,0.70541,1.01088,0.94485,0.90573,0.97063,0.72002,0.94559,0.90424,0.96906,0.71919,0.82102,1.1163,0.53435,0.99839,0.00116365,0.00116365,0.00116365
63,636.141,0.88512,1.34955,0.70652,1.01508,0.90866,0.87099,0.94614,0.74737,0.90866,0.87099,0.94277,0.72993,0.80453,1.09454,0.55274,0.98531,0.0011554,0.0011554,0.0011554
64,645.851,0.87804,1.3391,0.702,1.00978,0.86333,0.84161,0.9417,0.73341,0.82739,0.80409,0.89059,0.6894,0.81462,1.13468,0.58485,0.99338,0.00114715,0.00114715,0.00114715
65,655.63,0.86339,1.33206,0.68905,0.99951,0.96914,0.90087,0.97741,0.76777,0.93182,0.86515,0.93077,0.73742,0.81229,1.16021,0.49842,0.9845,0.00113889,0.00113889,0.00113889
66,665.375,0.86471,1.30222,0.66968,0.99995,0.93757,0.86565,0.96125,0.75759,0.94575,0.83126,0.92188,0.72741,0.78555,1.17805,0.5396,0.97864,0.00113064,0.00113064,0.00113064
67,675.097,0.85913,1.30727,0.68053,1.00265,0.9061,0.88458,0.94341,0.7513,0.90896,0.88458,0.94018,0.7254,0.79991,1.15751,0.55963,0.98501,0.00112239,0.00112239,0.00112239
68,684.842,0.85922,1.30124,0.67663,0.99836,0.94508,0.88406,0.96203,0.78144,0.94508,0.88406,0.95962,0.74133,0.7996,1.10148,0.57566,0.98492,0.00111414,0.00111414,0.00111414
69,694.647,0.878,1.29721,0.6811,1.00029,0.83106,0.9692,0.93931,0.71572,0.8295,0.96739,0.93573,0.693,0.80799,1.09417,0.57494,0.98141,0.00110589,0.00110589,0.00110589
70,704.404,0.87364,1.31238,0.67808,1.0032,0.86407,0.95728,0.94229,0.72899,0.86407,0.95728,0.93987,0.71353,0.77687,1.07307,0.60827,0.97351,0.00109764,0.00109764,0.00109764
71,714.128,0.86645,1.27682,0.66407,0.99849,0.86413,0.92306,0.91016,0.72556,0.86582,0.91574,0.90763,0.6988,0.78982,1.067,0.57153,0.97478,0.00108938,0.00108938,0.00108938
72,723.821,0.8576,1.31094,0.66923,0.99424,0.8384,0.89562,0.90565,0.71396,0.87938,0.88276,0.9158,0.68941,0.78995,1.07195,0.60547,0.97965,0.00108113,0.00108113,0.00108113
73,733.529,0.84954,1.27613,0.66025,0.99478,0.83443,0.88509,0.86334,0.67942,0.86498,0.86993,0.87562,0.64953,0.78928,1.08784,0.59873,0.98761,0.00107288,0.00107288,0.00107288
74,743.262,0.85614,1.28548,0.65418,0.995,0.87912,0.94565,0.92631,0.6925,0.84632,0.90994,0.88256,0.64992,0.79164,1.07053,0.58982,0.98234,0.00106463,0.00106463,0.00106463
75,753.105,0.84754,1.27939,0.65375,0.99846,0.83384,0.95471,0.92649,0.72122,0.83226,0.9529,0.92364,0.70193,0.78951,1.08729,0.607,0.97693,0.00105638,0.00105638,0.00105638
76,762.788,0.84522,1.28089,0.64177,0.9903,0.80362,0.88639,0.85239,0.67712,0.77045,0.85067,0.81279,0.61479,0.78233,1.12319,0.6083,0.98122,0.00104813,0.00104813,0.00104813
77,772.453,0.83391,1.28282,0.64412,0.99362,0.84792,0.89363,0.91907,0.72301,0.84792,0.89363,0.91725,0.68111,0.77839,1.13865,0.54611,0.97943,0.00103987,0.00103987,0.00103987
78,782.135,0.83341,1.25144,0.6302,0.98567,0.8575,0.96317,0.93362,0.70059,0.8575,0.96317,0.94054,0.65976,0.77549,1.09293,0.54727,0.98088,0.00103162,0.00103162,0.00103162
79,791.951,0.82408,1.23133,0.62713,0.98425,0.87794,0.97,0.96379,0.7537,0.84427,0.93449,0.91114,0.71969,0.76819,1.08234,0.55375,0.9682,0.00102337,0.00102337,0.00102337
80,801.734,0.82121,1.2455,0.61675,0.97986,0.86841,0.90402,0.95379,0.75509,0.83728,0.8683,0.89709,0.70673,0.75119,1.06237,0.53102,0.96365,0.00101512,0.00101512,0.00101512
81,811.599,0.82108,1.24783,0.61557,0.97614,0.91985,0.84472,0.94571,0.76626,0.88068,0.81113,0.89734,0.73426,0.74983,1.11984,0.54972,0.95419,0.00100687,0.00100687,0.00100687
82,821.308,0.83292,1.24764,0.6317,0.98689,0.87108,0.97037,0.96973,0.7931,0.83695,0.93477,0.93273,0.73711,0.76797,1.16118,0.53714,0.9624,0.000998616,0.000998616,0.000998616
83,831.025,0.79945,1.21151,0.59538,0.97545,0.90056,0.92212,0.94388,0.75572,0.86267,0.8864,0.90764,0.7248,0.75673,1.10213,0.57598,0.95468,0.000990365,0.000990365,0.000990365
84,840.749,0.81528,1.24933,0.6108,0.97902,0.84238,0.919,0.89726,0.71936,0.84238,0.919,0.89619,0.69125,0.74874,1.04539,0.61329,0.95958,0.000982113,0.000982113,0.000982113
85,850.442,0.80489,1.22735,0.59086,0.97635,0.84078,0.91718,0.93494,0.70968,0.84078,0.91718,0.92744,0.69431,0.75689,1.02675,0.55553,0.95792,0.000973861,0.000973861,0.000973861
86,860.246,0.80743,1.22469,0.60074,0.97371,0.83321,0.97427,0.91686,0.72031,0.85765,0.95784,0.92003,0.70478,0.76647,1.06561,0.57612,0.97135,0.00096561,0.00096561,0.00096561
87,869.938,0.81401,1.22065,0.58888,0.97581,0.83725,0.97053,0.93637,0.73505,0.80522,0.93494,0.88274,0.67337,0.76235,1.09668,0.54459,0.96056,0.000957358,0.000957358,0.000957358
88,879.636,0.80907,1.21852,0.59725,0.97671,0.88848,0.89726,0.92118,0.72996,0.88848,0.89726,0.91907,0.70861,0.74292,1.0613,0.59012,0.94912,0.000949106,0.000949106,0.000949106
89,889.342,0.79368,1.21034,0.60131,0.96735,0.86794,0.94917,0.95464,0.76296,0.86855,0.94851,0.94974,0.7285,0.74573,1.09855,0.55146,0.95905,0.000940855,0.000940855,0.000940855
90,899.063,0.79458,1.20005,0.59408,0.9679,0.80278,0.96377,0.93291,0.74923,0.80278,0.96377,0.93289,0.72358,0.75394,1.08349,0.57632,0.95268,0.000932603,0.000932603,0.000932603
91,908.808,0.78767,1.21679,0.57812,0.96885,0.86949,0.95969,0.93687,0.76382,0.83494,0.92217,0.89598,0.73065,0.75214,1.0532,0.56263,0.9595,0.000924352,0.000924352,0.000924352
92,918.583,0.78946,1.2064,0.58412,0.96875,0.89728,0.95009,0.95821,0.7714,0.89728,0.95009,0.95589,0.74316,0.73439,1.04744,0.53022,0.95849,0.0009161,0.0009161,0.0009161
93,928.278,0.80341,1.20376,0.60312,0.96846,0.86619,0.96527,0.913,0.7127,0.86619,0.96527,0.91231,0.68504,0.76402,1.07707,0.5831,0.97193,0.000907848,0.000907848,0.000907848
94,938.003,0.78803,1.16565,0.57345,0.96641,0.88961,0.91628,0.96037,0.77672,0.88961,0.91628,0.95845,0.75007,0.76174,1.09317,0.521,0.96717,0.000899597,0.000899597,0.000899597
95,947.737,0.78316,1.18554,0.56859,0.96326,0.9079,0.96377,0.9662,0.77956,0.9079,0.96377,0.96454,0.76583,0.75771,1.0304,0.52838,0.96345,0.000891345,0.000891345,0.000891345
96,957.465,0.77106,1.17633,0.57179,0.95884,0.89163,0.95879,0.95845,0.77202,0.85663,0.92319,0.90182,0.7056,0.75022,1.04948,0.54588,0.9721,0.000883093,0.000883093,0.000883093
97,967.216,0.77888,1.15673,0.56303,0.95857,0.87305,0.96739,0.9359,0.7498,0.87305,0.96739,0.93536,0.70983,0.74118,0.98997,0.58221,0.95164,0.000874842,0.000874842,0.000874842
98,976.924,0.77829,1.17947,0.57173,0.96118,0.8787,0.94203,0.93592,0.74496,0.8787,0.94203,0.93566,0.72681,0.74091,0.99828,0.5577,0.95091,0.00086659,0.00086659,0.00086659
99,986.749,0.76749,1.16054,0.55452,0.95675,0.88771,0.95833,0.95254,0.77893,0.88771,0.95833,0.9514,0.77411,0.72637,1.00498,0.54236,0.94668,0.000858338,0.000858338,0.000858338
